lag1,lag2,ma3,target
56.79999923706055,56.86000061035156,56.926666259765625,73.80100059509277
57.119998931884766,56.79999923706055,56.89666620890299,75.03600158691407
56.77000045776367,57.119998931884766,57.20333353678385,74.16499900817871
57.720001220703125,56.77000045776367,57.18000030517578,71.77299880981445
57.04999923706055,57.720001220703125,56.65999984741211,74.24300079345703
55.209999084472656,57.04999923706055,56.45666631062826,76.1540023803711
57.11000061035156,55.209999084472656,56.96666717529297,75.10100059509277
58.58000183105469,57.11000061035156,57.820000966389976,75.41299781799317
57.77000045776367,58.58000183105469,58.12000020345052,75.93299980163575
58.0099983215332,57.77000045776367,58.063332875569664,75.54300079345704
58.40999984741211,58.0099983215332,58.176666259765625,71.7209976196289
58.11000061035156,58.40999984741211,57.22999954223633,72.74799880981446
55.16999816894531,58.11000061035156,56.41333262125651,72.92999801635742
55.959999084472656,55.16999816894531,55.74333190917969,75.95900039672851
56.09999847412109,55.959999084472656,56.82999928792318,75.95900039672851
58.43000030517578,56.09999847412109,57.653333028157554,76.96000099182129
58.43000030517578,58.43000030517578,58.686667124430336,76.72600059509277
59.20000076293945,58.43000030517578,58.88333384195963,77.01200218200684
59.02000045776367,59.20000076293945,59.153334299723305,76.38799781799317
59.2400016784668,59.02000045776367,59.00666681925456,76.93400039672852
58.7599983215332,59.2400016784668,59.06000010172526,78.09099960327148
59.18000030517578,58.7599983215332,59.33666610717773,78.27299880981445
60.06999969482422,59.18000030517578,59.81999969482422,79.22199821472168
60.209999084472656,60.06999969482422,60.40666580200195,79.20900039672851
60.93999862670898,60.209999084472656,60.69333267211914,79.58600158691407
60.93000030517578,60.93999862670898,61.03000005086263,78.57199821472167
61.220001220703125,60.93000030517578,60.86333338419596,78.67600059509277
60.43999862670898,61.220001220703125,60.72666676839193,79.44300079345703
60.52000045776367,60.43999862670898,60.68999989827474,80.18400039672852
61.11000061035156,60.52000045776367,61.10333379109701,80.23600158691407
61.68000030517578,61.11000061035156,61.50333404541016,80.18400039672852
61.720001220703125,61.68000030517578,61.6933339436849,79.37800178527833
61.68000030517578,61.720001220703125,61.48666763305664,79.53400039672852
61.060001373291016,61.68000030517578,61.30666732788086,81.96499900817871
61.18000030517578,61.060001373291016,61.76333363850912,82.25100059509278
63.04999923706055,61.18000030517578,62.5,81.51000099182129
63.27000045776367,63.04999923706055,63.00666681925456,77.49300079345703
62.70000076293945,63.27000045776367,61.86000061035156,77.42800178527833
59.61000061035156,62.70000076293945,60.62333424886068,76.75200119018555
59.560001373291016,59.61000061035156,59.403334299723305,75.50400238037109
59.040000915527344,59.560001373291016,58.89333470662435,75.69899940490723
58.08000183105469,59.040000915527344,58.45000076293945,75.15300178527832
58.22999954223633,58.08000183105469,58.040000915527344,76.07600059509278
57.810001373291016,58.22999954223633,58.186667124430336,76.10200119018555
58.52000045776367,57.810001373291016,58.290000915527344,75.84200019836426
58.540000915527344,58.52000045776367,58.46666717529297,73.76200218200684
58.34000015258789,58.540000915527344,57.87333424886068,72.26700019836426
56.7400016784668,58.34000015258789,56.8900006612142,70.44699821472167
55.59000015258789,56.7400016784668,55.50666681925456,69.08199920654297
54.18999862670898,55.59000015258789,54.3066660563151,69.52399940490723
53.13999938964844,54.18999862670898,53.60333251953125,69.3290023803711
53.47999954223633,53.13999938964844,53.31666692097982,67.78199920654298
53.33000183105469,53.47999954223633,52.98333358764648,67.02800178527832
52.13999938964844,53.33000183105469,52.34333419799805,65.14300079345703
51.560001373291016,52.13999938964844,51.27000045776367,64.49300079345703
50.11000061035156,51.560001373291016,50.42666753133138,65.97500000000001
49.61000061035156,50.11000061035156,50.15666707356771,66.2350009918213
50.75,49.61000061035156,50.436667124430336,65.41599960327149
50.95000076293945,50.75,50.673333485921226,64.4409996032715
50.31999969482422,50.95000076293945,50.28000005086263,64.92199821472167
49.56999969482422,50.31999969482422,49.94333267211914,66.52099761962891
49.93999862670898,49.56999969482422,50.22666549682617,66.8459976196289
51.16999816894531,49.93999862670898,50.84333165486654,67.66499900817871
51.41999816894531,51.16999816894531,51.54666519165039,67.66499900817871
52.04999923706055,51.41999816894531,51.83999888102213,69.27700119018554
52.04999923706055,52.04999923706055,52.46333312988281,69.91399841308595
53.290000915527344,52.04999923706055,53.03999964396159,69.39400138854981
53.77999877929688,53.290000915527344,53.48333358764648,66.85900039672852
53.380001068115234,53.77999877929688,52.86333338419596,64.87000198364258
51.43000030517578,53.380001068115234,51.570000966389976,63.34899940490723
49.900001525878906,51.43000030517578,50.02000045776367,61.21700019836426
48.72999954223633,49.900001525878906,48.573333740234375,58.187997817993164
